name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Audacious Livery!,jdp_audaciouslivery,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_audaciouslivery,"This ship has been redecorated with a truly audacious livery by its pirate crew. You get the sense that, in some small way, this livery helps stave off the entropy of the universe thanks to some esoteric faustian bargain.

Provides no benefits.",,,graphics/hullmods/jdp_audaciouslivery.png
Frictionless Hull,jdp_frictionlesshull,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_frictionlesshull,"The hull of this ship is made of an esoteric and frictionless material. 

This substance is ""slippery"" in its interactions with space-time, permanently increasing timeflow aboard the ship by %s and reducing the effects of environmental hazards by %s. 

Prone to shattering unpredictably when impacted, the effective armor strength for the damage reduction calculation is reduced to %s of its actual value. 

Increasing the amount of subjective time experienced by the ship gives greater opportunity for issues and defects to arise, increasing maintenance by %s.

Working under temporally enhanced conditions is an immense strain on both equipment and crew, reducing the peak performance time by a factor of %s.",,,graphics/hullmods/jdp_frictionlesshull.png
Cloaking Field,jdp_phasefield,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PhaseField,"The ship is able to run its esoteric cloaking system at low levels for extended periods of time, reducing its effective sensor profile by %s.",Reduces fleetwide sensor profile.,,graphics/hullmods/jdp_cloakfield.png
Boarding Nets,jdp_boardingnets,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_boardingnets,"Being intended primarily for policing action, this vessel is equipped with boarding nets and a substantial armoury. While the ship is unable to provide direct support on the ground, these amenities increases the effective strength of planetary raids by %s, up to the total number of marines in the fleet.",Improves effectiveness of raids.,,graphics/hullmods/jdp_boardingnets.png
Maerulan Phase Coils,jdp_maerulanphasecoils,,,Flowerfish Network,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_maerulanphasecoils,"The phase coils on this ship have been extensively modified and expertly tuned by the engineering savant Maerula, leader of the Flowerfish Mercenary Company.

Reduces phase cloak cooldown by %s and allows the coils to theoretically handle any level of hard flux, increasing the threshold at which speed bottoms out by %s. For standard-design coils with no other modifications, this effectively removes the threshold.",,,graphics/hullmods/jdp_maerulanphasecoils.png
Mobile Minefield,jdp_minefield,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_minefield,"Mines attack enemy ships during battle.

Deployed by a ship before the engagement starts, the mines are less numerous and accurate than those provided by a static installation.","Mines attack enemy ships during battle.

Deployed by a ship before the engagement starts, the mines are less numerous and accurate than those provided by a static installation.",,graphics/hullmods/jdp_minefield.png
Banisher Core,jdp_banishercore,,,,"no_drop, no_sell, codex_unlockable",Weapons,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_banishercore,"A dedicated ""Banisher Targeting Core"" is installed on this ship for active counter-design. Adept at small scale structural analysis, damage against frigate and destroyer class vessels is improved by %s.

The core also has the unfortunate combination of being both utterly inept at and very adamant about its analysis of larger structures, reducing damage against cruiser and capital class vessels to %s of its normal value. 

This level of incompetence is almost bordering on malice, potentially suggesting an intentional constraint implemented by the core's engineers for reasons unknown.",,,graphics/hullmods/jdp_banishercore.png
Ancient Testbed,jdp_ancienttestbed,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_ancienttestbed,"This ship was originally designed as a testbed for a suite of at the time novel technologies. While historically intersting, its performance in combat scenarios suffers accordingly.

The cramped flight deck, designed before the practicalities of effective fighter re-armament were fully understood, increases replacement launch time by %s.

Old pattern flux conduits and a by modern standards underpowered reactor starve weapon mounts, increasing the flux generation of ballistic weapons by %s and energy weapons by %s.

A primitive form of a missile autoloader system reduces missile rate of fire by %s.",,,graphics/hullmods/jdp_ancienttestbed.png
Missile Speedloader,jdp_missilespeedloader,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_missilespeedloader,"The missile racks of this ship have been extensively modified to favour speed over capacity, increasing missile rate of fire by %s at the cost of reducing missile capacity by %s. 

Precludes increasing the size of the ships missile racks, however ships modified in this way usually have other ways to replenish their missile ammunition stores.",,,graphics/hullmods/jdp_missilespeedloader.png
Anfractuous Being,jdp_anfractuousbeing,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_anfractuousbeing,"NYI TEST

SNAKEY BOI",Modular ship control,,graphics/hullmods/jdp_anfractuousbeing.png
Mirrorshield,jdp_mirrorshield,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_mirrorshield,"NYI TEST

SHIELD MIRRORING",,,graphics/hullmods/jdp_mirrorshield.png
Erroneous Ordinance,jdp_erroneousordinance,,,,"dmod, codex_require_related",,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_erroneousordinance,"Excess missile feedstocks, explosive magazines and ammunition stores have been installed on this ship in profoundly shortsighted locations. Crowding out the ships corridors and maintenance ducts, these prove immensely hazardous to repair crews and loaders, especially considering they are prone to cooking-off during combat.

Crew casualties in combat are increased by %s and repair rate for disabled weapons and engines is reduced by %s. The death explosion damage and range of this ship is increased by a factor of %s.",,,graphics/hullmods/jdp_erroneousordinance.png
,,,,,,,,,,,,,,,,,,,
#Hidden,,,,,,,,,,,,,,,,,,,
True Demon,jdp_truedemon,0,,,,,,,TRUE,TRUE,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_truedemon,"Provides benefits to the Laplcians during the boss fight. 

%s
%s",,,graphics/icons/intel/investigation.png
Modular Ship,jdp_modularship,0,,,,,,,TRUE,TRUE,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_modularship,"Prevents installing shields, escort package etc.",,,graphics/icons/intel/investigation.png
Linkedengines,jdp_linkedengines,,,,,,,,TRUE,TRUE,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_linkedengines,Links module engines to the hub engine controller.,,,graphics/icons/intel/investigation.png
Cryoarithmetic Heatsink,jdp_cryoarithmeticheatsink,0,,,,,,,TRUE,TRUE,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_cryoarithmeticheatsink,Protects the Remnant Locus from stellar phenomena.,,,graphics/icons/intel/investigation.png
Mercenary Relay Helper,jdp_mercenaryrelayhelper,0,,,,,,,TRUE,TRUE,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_mercenaryrelayhelper,Manages installing Relay Drones into the ship.,,,graphics/icons/intel/investigation.png
,,,,,,,,,,,,,,,,,,,
#Obtainable,,,,,,,,,,,,,,,,,,,
Emulated Frictionless Hull,jdp_emulatedfrictionlesshull,,,Novel Technology,"no_drop, no_sell, codex_unlockable, no_build_in",,,,,,15,25,35,45,Jaydee8652.JaydeePiracy.hullmods.jdp_emulatedfrictionlesshull,"Installs a coating of %s onto the outer hull of the ship.

While not as intensive of an effect as would be afforded by a hull made purely of the material, this substance is still ""slippery"" in its interactions with space-time, permanently increasing timeflow aboard the ship by %s/%s/%s/%s depending on hullsize and reducing the effects of environmental hazards by %s. 

Prone to shattering unpredictably when impacted, the effective armor strength for the damage reduction calculation is reduced to %s of its actual value. 

Increasing the amount of subjective time experienced by the ship gives greater opportunity for issues and defects to arise, increasing maintenance by %s.

Working under temporally enhanced conditions is an immense strain on both equipment and crew, reducing the peak performance time by a factor of %s.",,,graphics/hullmods/jdp_emulatedfrictionlesshull.png
Mercenary Relay,jdp_mercenaryrelay,,,Flowerfish Network,"no_drop, no_sell, codex_unlockable, no_build_in",,,,,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_mercenaryrelay,"Extensively modifies the ship to support a Flowerfish Mercenary Relay, increasing combat vision range by %s su.",,,graphics/hullmods/jdp_mercenaryrelay.png
Slat Armor,jdp_slatarmor,,,,"no_drop, no_sell, codex_unlockable",,,,TRUE,,5,10,15,25,Jaydee8652.JaydeePiracy.hullmods.jdp_slatarmor,"While at the time a revolutionary development, this slat armor package is less effective than modern ""spaced"" armor designs, reducing the effective armor strength for the damage reduction calculation to %s of its actual value. 

The cage like structure occasionally causes explosive pre-detonation, effectively reducing High Explosive damage by %s.",,,graphics/hullmods/jdp_slatarmor.png
Ground Support Fighters,jdp_supportfighter,,,Flowerfish Network,,,,,TRUE,,0,0,0,0,Jaydee8652.JaydeePiracy.hullmods.jdp_supportfighter,"The fighter complement of this vessel includes multi-role orbital to surface platforms, versatile ground operations assets with extensive counter-measures, close support weaponry and airlift capacity.",,,graphics/hullmods/jdp_supportfighter.png
Fabrique Override,jdp_fabriqueoverride,,,Fabrique Orbitale,,,,,TRUE,,15,25,35,45,Jaydee8652.JaydeePiracy.hullmods.jdp_fabriqueoverride,"A transmitter system and integrated supercomputer preloaded with software and preliminary codes necessary for the shutdown of an Orbital Fusion Lamp. Provided the transmitter is within range, a selfcracking algorithm can iterate through the countless possible shutdown codes within moments..",,,graphics/hullmods/jdp_fabriqueoverride.png
