id,type,text1,text2,text3,notes
nes_voltaire,SHIP,"A late pre-collapse design of the Domain Navy, Volt is a technologically advanced behemoth of a ship developed with exclusive backing from the Tri-Tachyon corporation. After receiving almost unprecedented amound of funding, the design team came up with heavily armed, well armored hull with an extensive flux grid and powerful engines. All-around automation and use of premium components ensued outstanding performance and ensured exceptional production and maintenance costs. Phobos drone suite was included to protect otherwise vulnerable stern as well as support mothership in the assault, should its captain be daring enough.",,,
,,,,,
nes_carnelian,SHIP,"A pre-collapse design from Altair Exotech combines the exceptional speed and versatility in one fragile package. ""Chrysoberyl"" tandem suite allows a pair of heavily specialized drones to join Carnelian in battle.",,,
,,,,,
nes_phasething,SHIP,"Oh, hello there. This ship is a work in progress, the orbital shipyards are working day and night to finish it. Now, curious one, quit poking your nose where is doesn't belong.",,,
#Drones,,,,,
nes_drone_phobos,SHIP,"Advanced drone for point defence and close assault duty. Fabrique Orbitale provided the chassis and system designs, while Tri-Tachyon experts were responsible for the weapons suite.",,,
,,,,,
nes_drone_carnelian_attacker,SHIP,"Resolute attacker of the semi-autonomous ""Chrysoberyl"" twin-drone suite developed at Interstellar Dynamics and produced by Altair Exotech.",,,
,,,,,
nes_drone_carnelian_defender,SHIP,"Stalwart protector of the semi-autonomous ""Chrysoberyl"" twin-drone suite developed at Interstellar Dynamics and produced by Altair Exotech.",,,
#Weapons,,,,,
nes_assault_mjolnir,WEAPON,"""...a greatest revolving cannon ever made. Six gravitic shells... More than enough to kill anything that moves.""","- Adam Baker, COMSEC operative",,
,,,,,
nes_mining_drill,WEAPON,"Heavyweight laser drill designed for deep-space mining. Civilian design and requirements for complete integration made it obsolete as a tool of war. Nonetheless, having the capacity to slice through most hull with terrifying ease it can be used as an effective weapon and generous safety limits could be temporarily overriden to increase its destructive potential.",,,
,,,,,
nes_shock,WEAPON,Commencing shock therapy.,,,
,,,,,
nes_flak_drone,WEAPON,Extended range defensive weapon system that fires shrapnel-filled shells equipped with a proximity fuse for maximum effect against fighters and missiles.,,,
#Shipsystems,,,,,
nes_crystaltemporalshell,SHIP_SYSTEM,Resonates exotic particles within crystalline structure to accelerate the flow of time on board the ship.,Movement,Briefly accelerates timeflow and disables inertial dampeners. Stores multiple charges.,
,,,,,
nes_crystaltemporalshell_degraded,SHIP_SYSTEM,Resonates exotic particles within crystalline structure to accelerate the flow of time on board the ship.,Movement,Briefly accelerates timeflow and disables inertial dampeners. Reduced charges.,
