name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
虚空裂隙,ssp_voidrift_hullmod,,,,special,special,,,true,true,0,0,0,0,data.hullmods.ssp_voidrift_hullmod,每隔一段时间，刷新与玩家敌对的无人机,,,
永不过载,ssp_overloadprotection,,,,special,special,,,true,true,0,0,0,0,data.hullmods.ssp_overloadprotection,,,,
#定位协议3选1,,,,,,,,,,,,,,,,,,,
定位协议:光学,ssp_T_beam,,,楼兰工业,"offensive,standard","武器,楼兰工业:定位协议",1000,TRUE,,,4,6,9,15,data.hullmods.ssp_T_beam,"一组违背热力学第二定律的火控计算机，为光束武器提供强大的支持。
·根据幅能水平，最高提升光束武器 %s 的射程。
·根据幅能水平，光束武器对护盾伤害最多增加 %s ，每次光束造成的伤害有最高 %s 概率产生硬幅能伤害。
·禁用非光束武器，不影响实弹槽位上的武器、内置武器、导弹武器。
·不兼容: %s , %s 。",,,graphics/hullmods/ssp_T_beam.png
定位协议:破绽,ssp_T_shortrange,,,楼兰工业,"offensive,standard","武器,楼兰工业:定位协议",1000,TRUE,,,4,6,9,15,data.hullmods.ssp_T_shortrange,"显著增强推进器功率，火控系统受到了严重干扰，但也因此为弱点分析系统留下更多的拓展空间。
·根据舰船级别减少 %s 能量、实弹武器射程。
·增加 %s 的机动性和最大航速。
·命中船体时，命中位置越靠近船体的后方伤害就越高，最多 %s 。
·命中护盾时，命中位置越靠近护盾的边缘伤害就越高，最多 %s 。
·不兼容: %s 。",,,graphics/hullmods/ssp_T_shortrange.png
定位协议:增强,ssp_T_longrange,,,楼兰工业,"offensive,standard","武器,楼兰工业:定位协议",1000,TRUE,,,4,6,9,15,data.hullmods.ssp_T_longrange,"限制舰船推进系统功率减少对火控系统干扰，为舰船提供临时性的射程增益。
·降低 %s 的机动性和最大航速，但零幅能加速增加航速减少的数值。
·根据舰船级别增加 %s 能量、实弹非点防御武器射程。非点防御武器开火时会降低上述射程。
·上述射程在武器停止开火时会恢复，幅能越低速率越快。
·强制排幅时恢复速率极大增加。",,,graphics/hullmods/ssp_T_longrange.png
#系统改装3选1,,,,,,,,,,,,,,,,,,,
系统改装:极化,ssp_SYS_p,,,楼兰工业,"special, no_build_in","特殊,楼兰工业:系统改装",1000,,true,,2,4,6,10,data.hullmods.ssp_SYS_p,string.json,,,graphics/hullmods/ssp_SYS_p.png
系统改装:优化,ssp_SYS_s,,,楼兰工业,"special, no_build_in","特殊,楼兰工业:系统改装",1000,,true,,2,4,6,10,data.hullmods.ssp_SYS_s,string.json,,,graphics/hullmods/ssp_SYS_s.png
系统改装:核心,ssp_SYS_c,,,楼兰工业,"special, no_build_in","特殊,楼兰工业:系统改装",1000,,true,,2,4,6,10,data.hullmods.ssp_SYS_c,断崖系统的效果翻倍。,,,graphics/hullmods/ssp_SYS_c.png
#断崖系统5选2,,,,,,,,,,,,,,,,,,,
战术方针:狂热,ssp_CLIFF_fluxdepression,,,楼兰工业,"special, no_build_in,ssp_CLIFF_basehullmod","特殊,楼兰工业:战术方针",1000,TRUE,,,3,6,9,15,data.hullmods.ssp_CLIFF_fluxdepression,string.json,,,graphics/hullmods/ssp_CLIFF_fluxdepression.png
战术方针:末路,ssp_CLIFF_safetyoverride,,,楼兰工业,"special, no_build_in,ssp_CLIFF_basehullmod","特殊,楼兰工业:战术方针",1000,TRUE,,,10,25,40,60,data.hullmods.ssp_CLIFF_safetyoverride,string.json,,,graphics/hullmods/ssp_CLIFF_safetyoverride.png
战术方针:递送,ssp_CLIFF_deliver,,,楼兰工业,"special, no_build_in,ssp_CLIFF_basehullmod","特殊,楼兰工业:战术方针",1000,TRUE,,,2,4,6,10,data.hullmods.ssp_CLIFF_deliver,string.json,,,graphics/hullmods/ssp_CLIFF_deliver.png
战术方针:坚毅,ssp_CLIFF_morehp,,,楼兰工业,"special, no_build_in,ssp_CLIFF_basehullmod","特殊,楼兰工业:战术方针",1000,TRUE,,,2,4,6,10,data.hullmods.ssp_CLIFF_morehp,"·消耗结构的战术方针效果 %s 消耗。
·获取结构的战术方针效果和 %s ， %s 获取。
·断崖系统的数值 %s 。",,,graphics/hullmods/ssp_CLIFF_morehp.png
战术方针:劫掠,ssp_CLIFF_lifesteal,,,楼兰工业,"special, no_build_in,ssp_CLIFF_basehullmod","特殊,楼兰工业:战术方针",1000,TRUE,,,3,6,9,15,data.hullmods.ssp_CLIFF_lifesteal,string.json,,,graphics/hullmods/ssp_CLIFF_lifesteal.png
,,,,,,,,,,,,,,,,,,,
